BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,4,0,0,0,0,1,0,.233,.637
Machín3B,2,0,0,0,1,1,0,.225,.600
a-BridePH-3B,1,0,0,0,0,0,0,.229,.602
"Murphy, SC",4,1,2,0,0,2,1,.253,.776
"Brown, SCF",1,0,0,0,2,1,0,.232,.742
b-PinderPH-RF,1,0,0,0,0,1,1,.235,.649
LaureanoRF-CF,4,1,0,0,0,2,4,.212,.663
VogtDH,3,0,0,0,1,2,0,.168,.566
"Garcia, Der1B",4,0,1,2,0,3,0,.288,.932
"Thomas, CodLF",3,0,0,0,0,1,2,.267,.580
"Allen, NSS",3,0,0,0,0,2,2,.203,.534
,30,2,3,2,4,16,10,,
