BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,5,0,1,0,0,0,1,.240,.726
"Soto, JRF",2,0,0,0,2,2,0,.236,.848
"Machado, M3B",4,0,0,0,0,3,4,.299,.904
BellDH,4,0,1,0,0,1,2,.276,.812
Cronenworth2B,4,0,1,0,0,2,1,.243,.735
KimSS,4,0,0,0,0,0,2,.246,.689
Myers1B,4,1,3,0,0,1,1,.259,.682
GrishamCF,3,0,0,0,0,2,3,.190,.652
AlfaroC,4,0,1,1,0,3,2,.249,.676
,34,1,7,1,2,14,16,,
