PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Clevinger(L, 5-7)",5.0,7,6,6,2,2,3,4.47
"Wilson, S",1.0,1,0,0,0,1,0,2.91
Johnson,1.0,0,0,0,0,2,0,3.38
"Hill, T",1.0,0,0,0,0,1,0,2.95
,8.0,8,6,6,2,6,3,
