Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,718,22,3.1,.356,.360
2017,R,626,4,0.6,.377,.308
2018,R,617,27,4.4,.341,.311
2019,R,544,61,11.2,.404,.371
2020,R,220,94,42.7,.397,.355
2021,R,333,119,35.7,.383,.375
2022,R,582,346,59.5,.338,.362
