 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2014,,340,"1,370",3,-5,10,7,15
2015,,477,"1,902",-4,-4,16,8,15
2016,,742,"2,922",7,-19,23,13,25
2017,,704,"2,859",11,-16,22,20,37
2018,,655,"2,634",1,-13,23,13,24
2019,,625,"2,582",15,-21,31,13,38
2020,,282,"1,061",9,-9,11,6,17
2021,,341,"1,328",12,-6,9,7,22
2022,,590,"2,197",14,-22,21,10,23
