 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,118,87.1,79.9,--,--,--,--,--,--,--,--,--,--,103,79.8,15,--
2021,94,95.7,88.2,--,--,--,--,--,--,--,--,--,--,90,88.6,4,--
2022,225,96.6,85.7,--,--,--,--,--,--,--,--,--,--,207,85.8,18,--
