Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2014,HOU,AL,345,138,132,0,2,.294,29,4,42,1387,4.020,.330,.058,.342,.237,4,1
2015,HOU,AL,451,178,138,2,3,.342,37,4,43,1790,3.969,.242,.035,.459,.183,4,0
2016,HOU,AL,744,294,238,0,1,.317,63,12,76,2932,3.941,.239,.039,.494,.196,3,2
2017,HOU,AL,629,286,163,0,4,.297,63,11,58,2550,4.054,.176,.054,.577,.239,8,1
2018,HOU,AL,620,236,167,0,3,.303,48,12,60,2501,4.034,.197,.035,.525,.169,8,0
2019,HOU,AL,556,283,178,0,4,.305,62,12,59,2299,4.135,.203,.070,.593,.299,4,1
2020,HOU,AL,222,102,64,0,2,.259,22,3,24,821,3.698,.171,.063,.632,.275,5,0
2021,TOR,AL,342,166,99,0,1,.286,42,6,34,1328,3.883,.231,.064,.468,.291,3,0
2022,TOR,AL,583,242,190,0,5,.285,51,7,68,2175,3.731,.172,.043,.540,.205,7,0
9 Seasons,2 Teams,,4492,1925,1369,2,25,.302,417,71,464,17783,3.959,.215,.049,.505,.225,46,5
