,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2014,HOU,AL,78,345,295,45,68,8,1,20,51,39,114,5,2,9,.231,.336,.468,.804
,2015,HOU,AL,102,451,388,59,107,19,2,16,41,50,109,16,4,8,.276,.367,.459,.826
,2016,HOU,AL,162,744,644,116,168,29,5,29,82,88,178,9,10,11,.261,.359,.457,.816
*,2017,HOU,AL,140,629,548,112,155,29,0,34,85,64,111,5,7,11,.283,.367,.522,.889
*,2018,HOU,AL,140,620,544,102,144,26,0,22,71,64,122,6,4,5,.265,.346,.434,.780
*,2019,HOU,AL,122,556,479,96,140,20,3,39,96,67,113,6,2,6,.292,.383,.591,.974
,2020,HOU,AL,51,222,189,37,50,6,2,14,32,24,38,1,2,5,.265,.359,.540,.899
,2021,TOR,AL,78,342,299,59,79,19,1,22,50,37,79,4,1,4,.264,.352,.555,.907
*,2022,TOR,AL,133,583,513,89,137,22,4,25,76,54,100,14,2,7,.267,.342,.472,.814
,9 Seasons,2 Teams,,1006,4492,3899,715,1048,178,18,221,584,487,964,66,34,66,.269,.358,.494,.852
