Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,HOU,AL,CF,8,7,61.0,24,24,0,0,0,,1.000
2014,HOU,AL,RF,71,70,618.0,152,139,6,7,2,,.954
2014,HOU,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2015,HOU,AL,CF,10,8,73.2,27,27,0,0,0,,1.000
2015,HOU,AL,RF,93,93,811.2,171,162,6,3,3,,.982
2016,HOU,AL,CF,1,1,8.0,4,4,0,0,0,,1.000
2016,HOU,AL,RF,147,147,1308.0,318,304,12,2,2,,.994
2016,HOU,AL,DH,12,12,0.0,0,0,0,0,0,,.000
2017,HOU,AL,CF,84,79,643.2,154,151,2,1,2,,.994
2017,HOU,AL,RF,78,50,477.0,95,92,3,0,0,,1.000
2017,HOU,AL,DH,7,7,0.0,0,0,0,0,0,,.000
2018,HOU,AL,LF,1,0,3.0,0,0,0,0,0,,.000
2018,HOU,AL,CF,80,73,583.1,145,140,4,1,1,,.993
2018,HOU,AL,RF,77,54,521.2,116,112,4,0,1,,1.000
2018,HOU,AL,DH,9,9,0.0,0,0,0,0,0,,.000
2019,HOU,AL,CF,75,67,540.1,139,137,2,0,0,,1.000
2019,HOU,AL,RF,59,39,374.2,88,83,3,2,1,,.977
2019,HOU,AL,DH,13,13,0.0,0,0,0,0,0,,.000
2020,HOU,AL,CF,42,41,338.0,82,82,0,0,0,,1.000
2020,HOU,AL,RF,9,5,53.0,4,4,0,0,0,,1.000
2020,HOU,AL,DH,3,3,0.0,0,0,0,0,0,,.000
2021,TOR,AL,CF,40,40,327.2,90,87,1,2,0,,.978
2021,TOR,AL,RF,4,0,6.0,1,1,0,0,0,,1.000
2021,TOR,AL,DH,38,38,0.0,0,0,0,0,0,,.000
2022,TOR,AL,CF,86,84,677.1,185,178,6,1,2,,.995
2022,TOR,AL,RF,26,2,59.2,13,13,0,0,0,,1.000
2022,TOR,AL,DH,40,40,0.0,0,0,0,0,0,,.000
9 Seasons,HOU,AL,LF,1,0,3.0,0,0,0,0,0,,.000
,2 Teams,,CF,426,400,3253.0,850,830,15,5,5,,.994
,2 Teams,,RF,564,460,4229.2,958,910,34,14,9,,.985
,2 Teams,,DH,123,123,0.0,0,0,0,0,0,,.000
