,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,583,513,89,137,25,76,14,.267,.342,.472,.814
9 Seasons,4492,3899,715,1048,221,584,66,.269,.358,.494,.852
