Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Toronto Blue Jays,MLB,First Inning,126,115,28,36,5,1,9,9,10,19,2,0,0,.313,.368,.609,.977
Toronto Blue Jays,MLB,Second Inning,30,27,2,11,2,1,1,13,2,7,3,0,0,.407,.433,.667,1.100
Toronto Blue Jays,MLB,Third Inning,87,78,17,22,5,1,4,11,7,9,0,1,2,.282,.356,.526,.882
Toronto Blue Jays,MLB,Fourth Inning,43,36,6,9,1,0,0,3,7,6,1,0,0,.250,.372,.278,.650
Toronto Blue Jays,MLB,Fifth Inning,78,69,11,16,1,0,4,7,6,15,2,1,2,.232,.312,.420,.732
Toronto Blue Jays,MLB,Sixth Inning,51,46,11,14,3,1,4,13,3,14,1,0,1,.304,.353,.674,1.027
Toronto Blue Jays,MLB,Seventh Inning,77,66,6,18,3,0,1,9,7,10,4,0,2,.273,.351,.364,.715
Toronto Blue Jays,MLB,Eighth Inning,43,35,3,4,0,0,0,2,7,6,1,0,0,.114,.262,.114,.376
Toronto Blue Jays,MLB,Ninth Inning,43,36,4,6,1,0,2,7,5,13,0,0,0,.167,.262,.361,.623
Toronto Blue Jays,MLB,Extra Innings,5,5,1,1,1,0,0,2,0,1,0,0,0,.200,.200,.400,.600
