PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Wainwright,6.2,8,2,2,0,4,0,3.09
"Helsley(W, 9-1)(BS, 4)",1.1,1,1,1,0,3,1,1.04
"Gallegos(S, 13)",1.0,1,0,0,0,0,0,3.04
,9.0,10,3,3,0,7,1,
