PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Cessa(L, 3-3)",5.2,8,5,5,1,5,3,5.25
Dowdy,2.1,2,0,0,2,2,0,0.00
Strickland,1.0,2,1,1,0,2,0,5.20
,9.0,12,6,6,3,9,3,
