BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,1,1,1,1,1,4,.212,.886
Hoskins1B,5,0,0,0,0,4,3,.169,.679
RealmutoC,5,0,0,0,0,3,0,.210,.650
HarperDH,2,0,1,0,2,0,0,.373,1.236
"Castellanos, NRF",4,1,0,0,1,0,4,.197,.508
Bohm3B,4,0,2,0,0,1,1,.218,.654
StottSS,3,0,0,0,1,0,3,.140,.493
Segura2B,4,0,2,1,0,1,1,.226,.527
MarshCF,2,0,0,0,1,2,2,.184,.700
,33,2,6,2,6,12,18,,
