PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Verlander(W, 2-0)",5.0,4,1,1,4,6,1,5.85
"Neris(H, 2)",0.2,1,0,0,0,1,0,1.80
"Abreu, B(H, 4)",1.1,0,0,0,0,2,0,0.00
"Montero(H, 4)",0.1,1,1,1,2,1,0,1.93
"Pressly(S, 5)",1.2,0,0,0,0,2,0,0.00
,9.0,6,2,2,6,12,1,
