PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Syndergaard(L, 0-1)",3.0,3,2,2,0,4,1,3.24
Brogdon,2.0,1,0,0,0,5,0,2.08
Alvarado,1.0,1,0,0,0,1,0,4.09
Domínguez,1.0,2,1,1,1,0,0,1.74
Robertson,1.0,0,0,0,1,1,0,1.35
Eflin,1.0,2,0,0,0,1,0,3.72
,9.0,9,3,3,2,12,1,
