BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Donovan2B-SS,3,0,0,0,1,2,1,.294,.978
Goldschmidt1B,5,1,1,0,0,2,2,.317,.909
Arenado3B,4,1,2,2,0,0,1,.306,.962
YepezRF,4,0,0,0,0,0,2,.306,.860
DickersonLF,4,1,0,0,0,3,2,.185,.454
CarlsonCF,4,1,3,0,0,0,0,.237,.649
PujolsDH,4,0,2,2,0,1,3,.260,.803
MolinaC,3,0,1,0,0,0,1,.244,.598
a-KniznerPH,1,0,0,0,0,1,0,.259,.735
"Sosa, ESS",2,0,1,0,0,0,2,.220,.493
Edman2B,2,0,0,0,0,0,0,.269,.798
,36,4,10,4,1,9,14,,
