,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,555,510,60,138,17,76,0,.271,.321,.429,.750
2 Seasons,1024,927,116,236,32,124,1,.255,.315,.414,.729
