 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2021,261,90.8,87.1,32,--,2,--,7,--,--,--,185,86.6,--,--,35,--
2022,260,94.9,88.8,55,--,1,--,--,--,--,--,97,87.7,--,--,107,89.7
