 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2021,15,39,38.5,-5,-1.1,-2.2,0,-3.3,29.7
2022,10,43,23.3,-12,-1.5,-2.9,0.5,-4,29.3
