Season,Team,Pos,PA,Depth (ft.),Angle
2021,CWS,9,498,300,27
2021,CWS,5,50,110,-34
2021,CWS,7,3001,301,-28
2021,CWS,3,406,114,36
2021,CWS,4,35,149,11
2022,CWS,7,1425,294,-28
2022,CWS,9,1371,297,27
2022,CWS,3,797,111,37
2022,CWS,4,11,149,11
