PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Ryan,4.0,5,3,2,2,3,1,3.09
Pagán,1.0,3,2,2,0,2,1,5.34
Thielbar,1.0,0,0,0,0,0,0,5.28
"Jax(BS, 3)",1.0,3,1,1,0,1,0,2.90
"Megill(BS, 1)",1.0,2,2,2,0,2,1,3.14
"Duran, J",1.0,0,0,0,0,0,0,1.95
"Moran(L, 0-1)",0.0,1,1,0,1,0,0,1.23
,9.0,14,9,7,3,8,3,
