PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Ober(W, 2-3)",7.1,2,0,0,1,10,0,3.18
Jax,0.2,0,0,0,0,2,0,3.25
"Duran, J",1.0,0,0,0,0,2,0,1.86
,9.0,2,0,0,1,14,0,
