BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez1B,4,1,1,0,0,0,1,.313,.789
CorreaSS,4,0,1,0,0,0,1,.289,.831
Gordon2B,3,0,0,0,0,1,1,.276,.761
MirandaDH,4,1,3,1,0,0,0,.273,.764
Urshela3B,4,0,2,0,0,2,2,.278,.751
CaveLF,4,0,1,1,0,1,4,.203,.624
SanchezC,3,1,1,0,1,1,2,.211,.664
WallnerRF,4,1,1,2,0,3,3,.243,.759
ContrerasCF,3,0,0,0,0,0,3,.119,.398
,33,4,10,4,1,8,17,,
