BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,0,0,0,0,2,2,.234,.687
AdamesSS,4,0,2,0,0,1,0,.210,.760
Tellez1B,4,0,1,0,0,0,2,.253,.777
McCutchenDH,4,0,0,0,0,0,3,.239,.635
RenfroeRF,3,0,1,0,1,0,1,.251,.798
NarváezC,4,0,0,0,0,0,5,.258,.713
"Urías, L3B-2B",3,0,0,0,0,1,0,.209,.657
Hiura2B,1,1,1,0,1,0,0,.215,.761
Peterson3B,0,0,0,0,0,0,0,.235,.745
"Taylor, TCF",3,1,1,2,0,0,2,.227,.693
,30,2,6,2,2,4,15,,
