PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(L, 5-6)",5.1,6,4,2,2,1,1,2.61
"Thompson, Z.D.",1.0,0,0,0,1,0,0,3.12
Oviedo,0.2,1,1,1,0,1,1,3.63
Naughton,1.0,0,0,0,1,1,0,4.60
,8.0,7,5,3,4,3,2,
