BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wade Jr.RF,3,0,0,0,0,1,0,.185,.612
SlaterCF,1,0,0,0,0,0,2,.272,.827
PedersonLF,4,1,0,0,1,0,3,.259,.872
Flores2B-1B,4,1,1,2,0,1,1,.240,.735
Belt1B,3,1,2,0,1,1,1,.217,.716
1-EstradaPR-2B,0,0,0,0,0,0,0,.253,.690
"Gonzalez, LDH",3,0,1,0,1,0,2,.302,.815
Villar3B,4,0,1,0,0,3,3,.200,.673
"Crawford, BraSS",3,0,0,1,0,0,1,.221,.654
YastrzemskiCF-RF,4,0,1,0,0,0,3,.228,.723
WynnsC,4,0,1,0,0,1,2,.231,.608
,33,3,7,3,3,7,18,,
