Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2015,24,1723,376,16,4.3,3.4,88.4,109.6,8.9,31.9,.274,.411,.298,.314,.353,34.3,15.0,4.1
2016,25,2142,412,16,3.9,2.9,88.6,109.7,9.8,28.4,.266,.387,.333,.306,.350,35.2,18.3,5.1
2017,26,2171,429,27,6.3,4.7,88.2,111.4,10.1,32.6,.279,.444,.332,.335,.384,35.5,18.3,6.2
2018,27,2042,377,34,9.0,6.4,88.9,109.8,14.5,39.8,.271,.472,.353,.351,.404,41.2,19.7,7.2
2019,28,2332,423,37,8.7,6.2,90.3,112.9,14.4,35.0,.273,.469,.340,.341,.404,41.1,20.7,6.9
2020,29,742,125,17,13.6,8.7,90.2,112.4,11.6,32.8,.246,.498,.361,.356,.431,42.4,24.6,8.2
2021,30,2096,349,30,8.6,5.6,89.6,111.2,11.5,31.2,.253,.416,.336,.329,.393,44.7,24.0,8.9
2022,31,2193,390,44,11.3,7.8,90.3,110.4,13.1,35.6,.275,.463,.354,.351,.412,47.2,21.2,7.3
Player,,15441,2881,221,7.7,5.5,89.2,112.9,11.8,33.5,.269,.441,.337,.334,.388,39.9,19.9,6.7
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
