PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Kluber(W, 7-6)",6.0,8,4,4,0,10,1,4.03
"Adam(H, 16)",1.0,0,0,0,0,0,0,1.33
"Poche(H, 12)",1.0,1,0,0,0,2,0,3.18
"Fairbanks(S, 2)",1.0,2,0,0,0,2,0,5.40
,9.0,11,4,4,0,14,1,
