BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LCF",4,2,1,0,2,2,1,.240,.702
MenesesRF,6,2,4,4,0,1,2,.354,1.011
Voit1B,4,0,1,0,1,2,1,.224,.727
"Cruz, NDH",4,0,2,1,1,0,3,.236,.660
1-RoblesPR-DH,0,0,0,0,0,0,0,.222,.576
"García, L2B",4,0,0,0,1,3,6,.286,.719
Hernández3B,3,2,0,0,1,1,5,.244,.614
CallLF,4,0,1,0,0,1,4,.154,.549
a-PalaciosPH,1,0,0,0,0,0,1,.182,.409
AdamsC,4,0,0,0,0,2,2,.182,.560
"b-Ruiz, KPH",1,0,1,1,0,0,0,.249,.664
2-AbramsPR,0,1,0,0,0,0,0,.211,.543
"Vargas, ISS",5,0,1,1,0,1,2,.276,.778
,40,7,11,7,6,13,27,,
