PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Espino,5.0,5,1,1,0,6,1,4.22
Arano,1.0,1,0,0,1,1,0,4.50
McGee,0.2,1,2,2,1,1,0,6.75
Edwards Jr.,0.1,2,0,0,0,1,0,3.04
Ramirez,1.0,1,0,0,0,1,0,2.99
Finnegan,1.0,0,0,0,0,0,0,3.00
"Harvey, H(W, 1-0)",1.0,1,2,1,2,2,0,2.88
,10.0,11,5,4,4,12,1,
