Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,479",53.8,416,380,120,74,25,1,20,96,288,.316,.288,.545,.555,.390,.386,92.6,16,26.5,21.6
2022,Breaking,977,35.5,219,203,45,35,6,0,4,61,142,.222,.214,.310,.333,.264,.269,86.0,16,33.9,18.9
2022,Offspeed,295,10.7,61,57,12,10,1,0,1,25,32,.211,.204,.281,.287,.245,.244,86.7,11,44.2,24.0
2021,Fastballs,"1,360",52.8,355,319,81,43,19,2,17,85,237,.254,.253,.486,.496,.342,.349,91.5,16,26.7,22.4
2021,Breaking,901,35.0,211,192,42,25,9,0,8,59,136,.219,.232,.391,.395,.287,.297,85.6,16,38.2,20.7
2021,Offspeed,316,12.3,83,77,23,16,5,0,2,23,56,.299,.288,.442,.436,.326,.346,86.9,1,28.4,20.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
