 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,140,580,-1,-3,3,2,1
2017,,538,"2,179",-24,-17,17,10,-14
2018,,517,"2,139",-3,-16,6,7,-5
2019,,562,"2,299",-9,-29,14,16,-7
2020,,314,"1,254",3,-2,8,7,17
2021,,709,"2,830",16,-37,15,13,8
2022,,713,"2,817",1,-15,20,11,17
