Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,137,0,0.0,.341,
2017,R,539,1,0.2,.277,.000
2018,R,518,9,1.7,.293,.293
2019,R,543,46,8.5,.315,.337
2020,R,264,100,37.9,.331,.376
2021,R,643,265,41.2,.318,.330
2022,R,696,223,32.0,.360,.289
