PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Peralta, F",2.0,0,0,0,2,3,0,3.45
"Strzelecki(W, 2-1)",2.0,0,0,0,0,2,0,3.00
"Milner(H, 9)",1.2,2,0,0,1,2,0,3.70
"Boxberger(H, 26)",1.0,1,1,1,1,1,0,2.98
"Bush(H, 14)",1.1,1,1,1,0,2,1,3.29
"Rogers(S, 31)",1.0,0,0,0,0,3,0,4.69
,9.0,4,2,2,4,13,1,
