Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,356",61.5,320,286,71,46,13,2,10,53,236,.248,.221,.413,.356,.320,.292,85.9,13,17.6,15.5
2022,Breaking,654,29.7,160,148,33,19,7,0,7,62,87,.223,.210,.412,.373,.298,.278,86.3,15,29.3,24.6
2022,Offspeed,194,8.8,68,64,16,10,6,0,0,17,48,.250,.257,.344,.325,.272,.276,88.7,4,19.4,20.7
2021,Fastballs,686,61.5,154,130,28,13,9,1,5,34,96,.215,.247,.415,.421,.330,.348,91.4,14,17.4,17.1
2021,Breaking,321,28.8,85,75,17,12,3,0,2,25,51,.227,.203,.347,.327,.288,.275,90.7,12,28.1,19.8
2021,Offspeed,108,9.7,24,21,8,4,3,1,0,4,17,.381,.269,.619,.342,.454,.320,89.1,5,22.9,12.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
