Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,21.8,4,3.7,0,0,3,1,25.0
2020,,21.7,1,1.0,0,0,1,0,0.0
2021,,22.0,7,5.6,1,4,9,1,14.3
2022,,23.1,17,15.6,1,6,12,7,41.2
Player,,22.7,29,25.9,3,10,25,9,31.0
