PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Adon(L, 1-6)",3.2,3,3,3,5,2,0,7.03
Ramirez,1.1,1,0,0,0,1,0,2.08
Edwards Jr.,2.0,0,0,0,0,1,0,9.00
Finnegan,1.0,0,0,0,0,0,0,4.38
Cishek,1.0,1,1,1,0,2,1,5.25
,9.0,5,4,4,5,6,1,
