BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hernández2B,4,0,0,0,0,2,1,.277,.641
"Soto, JRF",4,1,2,1,0,0,1,.264,.907
Bell1B,4,0,1,0,0,0,1,.345,.952
"Cruz, NDH",3,0,0,0,0,0,1,.170,.537
"Hernandez, YLF",2,0,0,0,1,0,0,.337,.884
"Ruiz, KC",3,0,0,0,0,1,1,.266,.662
Franco3B,3,0,0,0,0,0,1,.268,.688
Strange-GordonSS,3,0,0,0,0,1,0,.182,.364
"Thomas, LCF",3,0,1,0,0,1,0,.219,.564
,29,1,4,1,1,5,6,,
