Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Omaha Storm Chasers,Triple-A,Home Games,155,137,29,43,12,0,6,18,14,32,11,2,2,.314,.383,.533,.916
Northwest Arkansas Naturals,Double-A,Home Games,130,116,16,28,3,0,11,30,11,34,4,3,0,.241,.300,.552,.852
Omaha Storm Chasers,Triple-A,Away Games,130,116,26,29,12,0,11,28,12,32,4,1,0,.250,.315,.638,.953
Northwest Arkansas Naturals,Double-A,Away Games,149,128,28,44,8,4,5,21,14,33,10,5,6,.344,.430,.586,1.016
Omaha Storm Chasers,Triple-A,Day Games,55,50,7,11,4,0,2,9,3,14,1,1,0,.220,.255,.420,.675
Northwest Arkansas Naturals,Double-A,Day Games,28,26,3,7,3,0,1,5,2,7,2,1,0,.269,.321,.500,.821
Omaha Storm Chasers,Triple-A,Night Games,230,203,48,61,20,0,15,37,23,50,14,2,2,.300,.376,.621,.997
Northwest Arkansas Naturals,Double-A,Night Games,251,218,41,65,8,4,15,46,23,60,12,7,6,.298,.375,.578,.953
Omaha Storm Chasers,Triple-A,Leading Off,66,58,,13,3,0,3,3,7,21,,,1,.224,.318,.431,.749
Northwest Arkansas Naturals,Double-A,Leading Off,36,33,,12,1,2,3,3,2,9,,,1,.364,.417,.788,1.205
Omaha Storm Chasers,Triple-A,Late / Close,28,25,,3,0,0,1,4,2,10,,,0,.120,.179,.240,.419
Northwest Arkansas Naturals,Double-A,Late / Close,21,20,,5,1,0,0,4,0,9,,,0,.250,.238,.300,.538
