Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2020,AZ,NL,115,37,51,0,0,.246,10,1,10,450,3.913,.287,.026,.364,.178,0,0
2021,AZ,NL,315,124,123,1,0,.286,30,4,52,1220,3.873,.213,.035,.448,.190,3,1
2022,AZ,NL,592,235,181,2,5,.269,53,8,72,2321,3.921,.245,.046,.317,.207,5,0
3 Seasons,AZ,NL,1022,396,355,3,5,.272,93,13,134,3991,3.905,.240,.040,.359,.199,8,1
