 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,56,86.6,82.6,--,--,--,--,--,--,--,--,12,--,44,--,--,--
2021,163,85.8,81.8,--,--,--,--,--,--,--,--,29,--,93,80.0,41,--
2022,336,87.7,84.3,--,--,--,--,--,--,--,--,--,--,152,84.1,184,84.3
