,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2020,TOR,AL,9,25,24,4,9,2,0,1,3,1,4,0,0,0,.375,.400,.583,.983
,2021,TOR,AL,60,189,165,19,40,8,0,8,24,19,22,0,0,3,.242,.328,.436,.764
*,2022,TOR,AL,139,541,470,59,134,19,0,14,63,63,58,0,0,4,.285,.372,.415,.787
,3 Seasons,TOR,AL,208,755,659,82,183,29,0,23,90,83,84,0,0,7,.278,.362,.426,.788
