Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2020,21,23.6,,,71,12,492,1.8
2021,22,24.7,4.91,,78,18,583,13.8
2022,23,24.1,4.89,,86,40,608,2.6
