PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Sandoval,4.2,4,2,2,4,4,0,2.81
Quijada,1.1,0,0,0,1,2,0,2.70
"Tepera(H, 13)",1.0,0,0,0,0,1,0,3.97
Loup,0.1,1,3,0,1,0,0,4.43
"Iglesias, R(L, 1-4)(BS, 2)",1.1,3,3,3,0,1,1,4.91
"Herget(BS, 1)",0.0,1,1,1,0,0,1,3.12
,8.2,9,9,5,6,8,2,
