PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Ober(L, 1-1)",6.0,4,2,0,1,3,0,3.27
Duffey,1.0,0,0,0,1,1,0,6.00
Thielbar,0.1,4,4,4,0,0,0,23.63
Stashak,0.2,3,2,2,0,1,0,27.00
,8.0,11,8,6,2,5,0,
