PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Wacha,5.0,1,0,0,2,5,0,0.96
"Strahm(W, 1-0)",1.1,1,1,1,0,1,0,1.93
"Brasier(H, 1)",0.2,2,0,0,1,1,0,2.70
"Diekman(H, 3)",1.0,0,0,0,0,2,0,0.00
"Davis, A",1.0,0,0,0,0,1,0,6.75
,9.0,4,1,1,3,10,0,
