 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2020,,115,450,-7,-1,2,3,-3
2021,,312,"1,220",-5,-8,10,6,3
2022,,592,"2,321",0,-15,11,10,6
