 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2020,,135,17.6,25.2%,5.2%,71,23.2,0.0%,12.7%
2021,,302,18.2,12.3%,3.3%,208,24.9,0.0%,12.5%
2022,,734,17.4,21.0%,1.8%,274,22.2,0.7%,10.9%
