Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,202",51.8,310,273,68,35,16,2,15,72,205,.249,.219,.487,.423,.349,.316,86.7,20,22.7,21.7
2022,Breaking,746,32.2,175,157,30,18,3,0,9,50,109,.191,.180,.382,.332,.285,.267,84.4,10,28.7,18.9
2022,Offspeed,372,16.0,107,101,27,19,4,1,3,23,79,.267,.251,.416,.386,.309,.293,86.6,4,26.9,18.9
2021,Fastballs,687,56.3,167,148,40,23,13,0,4,34,115,.270,.256,.439,.450,.342,.342,86.4,20,20.4,19.8
2021,Breaking,384,31.5,99,92,20,9,3,2,6,22,70,.217,.241,.489,.458,.320,.324,84.6,19,26.0,15.8
2021,Offspeed,149,12.2,46,44,10,8,1,0,1,11,33,.227,.236,.318,.302,.254,.254,87.6,6,38.2,22.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
