Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2020,1,,1,0,1,1,1,0,0,0,88,90,2
2021,4,,1,1,1,2,0,1,0,1,88,92,4
2022,17,,3,5,1,10,1,5,2,7,85,91,6
