Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2020,,21.3,3,3.4,0,3,2,2,66.7
2021,,20.1,11,11.0,0,2,12,3,27.3
2022,,20.5,27,27.4,0,8,23,9,33.3
Player,,20.5,41,41.8,-1,13,37,14,34.1
