,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,592,531,79,125,27,74,16,.235,.302,.443,.745
3 Seasons,1022,916,136,214,41,121,25,.234,.306,.432,.738
