BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezC,3,0,0,0,1,2,1,.223,.732
Witt Jr.3B,4,0,1,0,0,1,1,.251,.721
"Perez, SDH",4,0,2,0,0,0,3,.227,.717
Pasquantino1B,4,0,2,0,0,0,1,.275,.820
RookerLF,2,0,0,0,0,0,2,.133,.435
a-PrattoPH-LF,2,0,0,0,0,2,2,.184,.652
Massey2B,4,0,1,0,0,0,2,.308,.768
"Taylor, MCF",3,0,0,0,0,1,3,.267,.697
EatonRF,3,0,0,0,0,2,1,.190,.598
"Garcia, MSS",2,0,0,0,1,0,0,.318,.712
,31,0,6,0,2,8,16,,
