BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,5,1,1,1,0,0,2,.289,.734
"Rosario, ASS",4,0,1,1,0,0,1,.295,.745
"Ramírez, JoDH",4,0,2,0,0,1,1,.287,.932
"Naylor, J1B",4,0,0,0,0,0,2,.275,.829
Gimenez2B,4,1,2,0,0,1,0,.305,.854
"Jones, NRF",4,0,0,0,0,3,2,.297,.868
Clement3B,3,1,1,1,1,2,0,.214,.515
MaileC,1,0,0,0,1,1,0,.191,.574
"a-Reyes, FPH",1,0,0,0,0,0,1,.210,.601
HedgesC,0,0,0,0,0,0,0,.176,.508
StrawCF,4,1,1,1,0,1,2,.214,.576
,34,4,8,4,2,9,11,,
