BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeDH,5,1,1,0,0,0,2,.310,1.106
Rizzo1B,3,0,0,0,0,0,0,.225,.821
"Cabrera, O3B",3,1,1,1,0,0,0,.245,.744
BaderCF,4,0,1,1,0,1,0,.253,.659
"Hicks, ALF",4,0,0,0,0,2,2,.220,.650
Peraza2B,4,2,2,1,0,0,2,.349,.917
Kiner-FalefaSS,4,0,1,0,0,0,1,.261,.642
GonzalezRF,4,0,1,1,0,2,1,.183,.577
HigashiokaC,3,1,1,1,1,1,1,.226,.652
,34,5,8,5,1,6,9,,
