PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Berríos(W, 9-5)",6.2,6,2,1,1,9,0,5.39
Bass,0.1,0,0,0,0,1,0,1.38
Kikuchi,1.0,1,0,0,1,2,0,5.18
Romano,1.0,0,0,0,0,1,0,2.45
,9.0,7,2,1,2,13,0,
