PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Pivetta(W, 7-5)",7.0,4,1,1,4,10,0,3.31
"Schreiber(H, 10)",1.0,0,0,0,0,3,0,0.87
Danish,0.2,2,3,3,1,0,1,4.01
"Houck(S, 4)",0.1,1,0,0,0,1,0,3.53
,9.0,7,4,4,5,14,1,
