PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Pallante(L, 2-2)",5.2,4,2,2,1,4,1,1.69
"Cabrera, G",1.0,2,1,1,2,1,0,2.43
VerHagen,1.1,3,3,3,1,3,1,5.95
,8.0,9,6,6,4,8,2,
