PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Crawford, K(L, 1-2)",4.0,6,4,4,0,3,2,6.41
Brasier,1.0,0,0,0,1,1,0,4.81
Robles,0.1,2,4,4,2,1,1,4.71
Sawamura,0.2,3,2,1,1,1,0,3.22
"Davis, A",3.0,3,1,1,2,4,0,2.54
,9.0,14,11,10,6,10,3,
