BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Segura2B,4,0,0,0,0,0,4,.227,.630
Hoskins1B,4,1,1,1,0,0,3,.197,.671
HarperDH,4,0,0,0,0,1,1,.253,.789
"Castellanos, NRF",4,0,1,0,0,1,0,.300,.849
RealmutoC,2,1,0,0,2,1,0,.267,.689
SchwarberLF,4,1,1,2,0,1,1,.169,.721
QuinnLF,0,0,0,0,0,0,0,.333,.833
Bohm3B,3,1,1,0,1,1,0,.308,.827
GregoriusSS,4,0,0,0,0,1,2,.275,.686
"Herrera, OCF",2,0,2,1,1,0,0,.389,1.400
,31,4,6,4,4,6,11,,
