PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Pineda(L, 2-4)",5.1,7,3,2,0,2,1,3.58
Chafin,0.2,0,0,0,1,2,0,2.39
Vest,2.0,2,0,0,0,0,0,3.55
,8.0,9,3,2,1,4,1,
