BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Taylor, MDH",4,0,1,0,0,0,1,.264,.725
BenintendiLF,4,0,0,0,0,1,1,.313,.780
Witt Jr.SS,4,1,2,0,0,0,1,.246,.740
Pasquantino1B,4,2,2,2,0,1,2,.182,.662
Rivera3B,4,0,2,0,0,0,0,.233,.697
O'HearnRF,2,0,0,0,0,0,1,.177,.466
a-OlivaresPH-RF,1,0,1,0,1,0,0,.307,.830
IsbelCF,4,0,0,0,0,1,3,.209,.559
GallagherC,3,0,1,0,0,0,2,.243,.678
"Lopez, N2B",3,0,0,0,0,1,4,.232,.572
,33,3,9,2,1,4,15,,
