PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Keller, B(W, 5-9)",7.0,3,1,1,1,8,0,3.96
"Clarke(H, 9)",1.0,1,0,0,0,0,0,3.99
"Barlow, S(S, 14)",1.0,0,0,0,0,0,0,2.27
,9.0,4,1,1,1,8,0,
